stamp,seq_tw,drone_position_x,drone_position_y,drone_position_z,drone_position_qx,drone_position_qy,drone_position_qz,drone_position_qw,yolo_label,yolo_xmin,yolo_xmax,yolo_ymin,yolo_ymax,yolo_confidence,object_global_position_2d_x,object_global_position_2d_y,object_global_position_2d_z
1628079691.141876,72,0.000116,0.011127,0.001997,-0.005907,-0.019030,-0.003921,0.999794,soldier,289,330,162,270,0.984381,9.910161,0.042876,0.000000
1628079691.274794,73,0.000916,0.011695,0.002308,-0.006467,-0.014673,-0.003435,0.999866,soldier,290,330,160,271,0.990251,9.918720,0.053346,0.000000
1628079691.408157,74,0.001343,0.015577,0.007848,-0.008563,0.014589,-0.008105,0.999824,soldier,289,330,141,258,0.796782,9.798162,-0.032600,0.000000
1628079691.678025,77,-0.008314,0.028814,0.069298,-0.014456,0.074419,-0.006909,0.997098,soldier,292,335,46,164,0.968399,9.846864,-0.039287,0.000000
1628079691.808113,78,-0.017086,0.043419,0.178979,-0.009757,0.068185,-0.018270,0.997458,soldier,285,329,45,159,0.982479,9.832667,-0.157548,0.000000
1628079691.874784,79,-0.019103,0.046297,0.213558,-0.011197,0.065103,-0.018758,0.997639,soldier,280,321,41,172,0.894136,9.817857,-0.058702,0.000000
1628079691.941457,80,-0.025698,0.052556,0.293964,-0.015392,0.056466,-0.019474,0.998096,soldier,274,315,48,201,0.750672,9.764854,0.043734,0.000000
1628079692.141446,83,-0.031192,0.067626,0.535391,-0.018944,0.036889,-0.022261,0.998892,soldier,271,310,107,233,0.826186,9.823799,0.073619,0.000000
1628079692.208112,84,-0.031352,0.071212,0.591758,-0.018971,0.032336,-0.022393,0.999046,soldier,271,311,110,242,0.935031,9.811344,0.072787,0.000000
1628079692.274783,85,-0.029054,0.075061,0.616583,-0.018666,0.030388,-0.022804,0.999104,soldier,272,310,125,260,0.921229,9.792809,0.032950,0.000000
1628079692.342427,86,-0.028520,0.079422,0.682562,-0.018062,0.025112,-0.021701,0.999286,soldier,270,311,146,266,0.887602,9.941731,0.078722,0.000000
1628079692.408110,87,-0.026491,0.091621,0.824501,-0.019608,0.016223,-0.020801,0.999460,soldier,273,313,152,276,0.863282,9.770661,0.057162,0.000000
1628079692.474788,88,-0.022647,0.086860,0.847033,-0.018747,0.015857,-0.020958,0.999479,soldier,277,317,164,296,0.954056,9.763801,-0.012139,0.000000
1628079692.541466,89,-0.010695,0.086206,0.935873,-0.009319,0.011320,-0.023318,0.999621,soldier,271,313,169,292,0.955604,9.778265,0.016068,0.000000
1628079692.608117,90,-0.004633,0.087581,0.974735,-0.010178,0.012068,-0.020427,0.999667,soldier,268,308,180,307,0.971417,9.942893,0.122177,0.000000
1628079692.674783,91,-0.002391,0.089192,1.005696,-0.016076,0.011149,-0.016162,0.999678,soldier,268,311,186,297,0.982488,9.944413,0.183455,0.000000
1628079692.741452,92,0.006622,0.095112,1.055055,-0.023475,0.010813,-0.012664,0.999586,soldier,273,314,186,305,0.924469,9.788405,0.201637,0.000000
1628079692.808116,93,-0.002013,0.103191,1.049435,-0.023766,0.010254,-0.014531,0.999559,soldier,279,320,190,309,0.990868,9.937270,0.067544,0.000000
1628079692.874784,94,0.007614,0.110149,1.092986,-0.015045,0.009120,-0.015571,0.999724,soldier,281,320,191,313,0.988959,9.945493,0.028182,0.000000
1628079693.008098,95,0.005045,0.116315,1.098138,-0.011338,0.001118,-0.017609,0.999780,soldier,283,317,190,340,0.968186,9.945265,0.018044,0.000000
1628079693.141448,97,0.029006,0.118491,1.122591,-0.004378,-0.014294,-0.022185,0.999642,soldier,273,314,221,346,0.935453,9.824063,0.037141,0.000000
1628079693.208423,98,0.045248,0.118657,1.113109,-0.004222,-0.011834,-0.021524,0.999689,soldier,272,314,224,345,0.984244,9.838916,0.050228,0.000000
1628079693.274837,99,0.068133,0.115043,1.114218,-0.003250,-0.009222,-0.022675,0.999695,soldier,272,313,221,349,0.986194,9.859799,0.024836,0.000000
1628079693.341612,100,0.098415,0.110025,1.115704,-0.001223,-0.008591,-0.022132,0.999717,soldier,271,313,221,339,0.970211,9.889542,0.058287,0.000000
1628079693.408133,101,0.148812,0.100163,1.096105,0.000572,-0.009486,-0.019065,0.999773,soldier,270,312,219,339,0.958596,10.101379,0.110006,0.000000
1628079693.474807,102,0.173189,0.096296,1.096113,0.000574,-0.010686,-0.015562,0.999822,soldier,272,314,219,339,0.909884,9.808807,0.147972,0.000000
1628079693.541921,103,0.259953,0.081764,1.101068,0.001325,-0.010726,-0.009425,0.999897,soldier,280,320,220,339,0.941832,9.892868,0.150865,0.000000
1628079693.608129,104,0.265322,0.080745,1.102252,0.001519,-0.010838,-0.009216,0.999898,soldier,282,326,222,344,0.992777,9.747803,0.078162,0.000000
1628079693.674802,105,0.298431,0.076211,1.105653,0.000856,-0.013220,-0.008882,0.999873,soldier,285,328,219,343,0.983151,9.931341,0.054037,0.000000
1628079693.741470,106,0.399809,0.071810,1.102939,0.000721,-0.014715,-0.012252,0.999816,soldier,286,329,222,346,0.986753,10.033903,-0.040688,0.000000
1628079693.808170,107,0.406517,0.071320,1.102901,0.000662,-0.014408,-0.012284,0.999821,soldier,283,327,229,346,0.992452,10.043145,0.008905,0.000000
1628079693.874909,108,0.457631,0.067622,1.101988,0.000234,-0.013686,-0.013676,0.999813,soldier,283,326,229,348,0.991607,9.944034,-0.020607,0.000000
1628079693.941472,109,0.496024,0.067470,1.101415,-0.000928,-0.014945,-0.015090,0.999774,soldier,282,325,225,347,0.994013,9.982252,-0.023630,0.000000
1628079694.009197,110,0.553793,0.068455,1.098743,-0.003916,-0.015372,-0.016682,0.999735,soldier,279,322,224,348,0.993231,10.041553,-0.005459,0.000000
1628079694.074765,111,0.638833,0.073045,1.090033,-0.004319,-0.015801,-0.021547,0.999634,soldier,276,320,223,352,0.990644,9.981266,-0.066573,0.000000
1628079694.141448,112,0.694962,0.075329,1.089537,-0.003629,-0.021907,-0.024888,0.999444,soldier,271,317,227,346,0.958657,10.041683,-0.051988,0.000000
1628079694.208110,113,0.766250,0.074002,1.095641,-0.003439,-0.019161,-0.024830,0.999502,soldier,266,311,222,357,0.973603,10.117576,0.021002,0.000000
1628079694.274782,114,0.816356,0.073765,1.098386,-0.001193,-0.022599,-0.025946,0.999407,soldier,265,311,229,353,0.961755,9.891338,0.003885,0.000000
1628079694.341448,115,0.833719,0.075525,1.098436,-0.001427,-0.023133,-0.026056,0.999392,soldier,266,309,228,369,0.972985,10.053150,0.026040,0.000000
1628079694.408111,116,0.919648,0.077839,1.097866,-0.003572,-0.022228,-0.024339,0.999450,soldier,265,310,232,364,0.989784,9.998846,0.034379,0.000000
1628079694.474783,117,0.969527,0.075781,1.097135,-0.004179,-0.023212,-0.023051,0.999456,soldier,266,312,230,366,0.990530,10.186858,0.054813,0.000000
1628079694.541455,118,1.030262,0.073781,1.093978,-0.005276,-0.025729,-0.018691,0.999480,soldier,268,313,230,367,0.992622,9.977209,0.083293,0.000000
